iPhone1,1 : iPhone ; Samsung ARM 1176JZ(F)-S ; PowerVR MBX Lite ; 3.5" 320x480 LED-backlit LCD Display
iPhone1,2 : iPhone 3G ; Samsung ARM 1176JZ(F)-S ; PowerVR MBX Lite ; 3.5" 320x480 LED-backlit LCD Display
iPhone2,1 : iPhone 3GS ; Samsung ARM Cortex-A8 ; PowerVR SGX535 ; 3.5" 320x480 LED-backlit LCD Display
iPhone3,1 : iPhone 4 ; Apple A4 ; PowerVR SGX535 ; 3.5" 960x640 LED-backlit IPS Display
iPhone3,2 : iPhone 4 GSM Rev A ; Apple A4 ; PowerVR SGX535 ; 3.5" 960x640 LED-backlit IPS Display
iPhone3,3 : iPhone 4 CDMA ; Apple A4 ; PowerVR SGX535 ; 3.5" 960x640 LED-backlit IPS Display
iPhone4,1 : iPhone 4S ; Apple A5 ; PowerVR SGX543MP2 ; 3.5" 960x640 LED-backlit IPS Display
iPhone5,1 : iPhone 5 (GSM) ; Apple A6 ; PowerVR SGX543MP3 ; 4" 1136x640 LED-backlit IPS Display
iPhone5,2 : iPhone 5 (GSM+CDMA) ; Apple A6 ; PowerVR SGX543MP3 ; 4" 1136x640 LED-backlit IPS Display
iPhone5,3 : iPhone 5C (GSM) ; Apple A6 ; PowerVR SGX543MP3 ; 4" 1136x640 LED-backlit IPS Display
iPhone5,4 : iPhone 5C (Global) ; Apple A6 ; PowerVR SGX543MP3 ; 4" 1136x640 LED-backlit IPS Display
iPhone6,1 : iPhone 5S (GSM) ; Apple A7 ; PowerVR G6430 ; 4" 1136x640 LED-backlit IPS Display
iPhone6,2 : iPhone 5S (Global) ; Apple A7 ; PowerVR G6430 ; 4" 1136x640 LED-backlit IPS Display
iPhone7,1 : iPhone 6 Plus ; Apple A8 ; PowerVR GX6450 ; 5.5" 1920x1080 LED-backlit IPS Display
iPhone7,2 : iPhone 6 ; Apple A8 ; PowerVR GX6450 ; 4.7" 1334x750 LED-backlit IPS Display
iPhone8,1 : iPhone 6s ; Apple A9 ; PowerVR GT7600 ; 4.7" 1334x750 LED-backlit IPS Display
iPhone8,2 : iPhone 6s Plus ; Apple A9 ; PowerVR GT7600 ; 5.5" 1920x1080 LED-backlit IPS Display
iPhone8,4 : iPhone SE (GSM) ; Apple A9 ; PowerVR GT7600 ; 4" 1136x640 LED-backlit IPS Display
iPhone9,1 : iPhone 7 ; Apple A10 Fusion ; PowerVR GT7600 ; 4.7" 1334x750 LED-backlit IPS Display
iPhone9,2 : iPhone 7 Plus ; Apple A10 Fusion ; PowerVR GT7600 ; 5.5" 1920x1080 LED-backlit IPS Display
iPhone9,3 : iPhone 7 ; Apple A10 Fusion ; PowerVR GT7600 ; 4.7" 1334x750 LED-backlit IPS Display
iPhone9,4 : iPhone 7 Plus ; Apple A10 Fusion ; PowerVR GT7600 ; 5.5" 1920x1080 LED-backlit IPS Display
iPhone10,1 : iPhone 8 ; Apple A11 Bionic ; Apple GPU ; 4.7" 1334x750 LED-backlit IPS Display
iPhone10,2 : iPhone 8 Plus ; Apple A11 Bionic ; Apple GPU ; 5.5" 1920x1080 LED-backlit IPS Display
iPhone10,3 : iPhone X Global ; Apple A11 Bionic ; Apple GPU ; 5.8" 2436x1125 OLED Display
iPhone10,4 : iPhone 8 ; Apple A11 Bionic ; Apple GPU ; 4.7" 1334x750 LED-backlit IPS Display
